total_population,median_income,median_rent,median_home_value,vacant_units,total_units,avg_commute_time,median_age,non_hispanic_white,hispanic_population,per_capita_income,poverty_count,median_year_built,rent_burden_30_50,total_housing_units,bachelors_degree,workers_public_transit,vehicles_available,zip_code
43286.0,76888.0,1711.0,631500.0,880.0,15527.0,17224.0,36.3,7987.0,18456.0,35463.0,5608.0,15527.0,796.0,15527.0,5685.0,17224.0,14647.0,11367
64268.0,72001.0,1768.0,781100.0,1227.0,21263.0,25979.0,38.9,13513.0,7713.0,33285.0,8612.0,21263.0,953.0,21263.0,7828.0,25979.0,20036.0,11432
33586.0,161236.0,2754.0,1125600.0,6974.0,25127.0,14273.0,48.6,3471.0,24844.0,158606.0,1886.0,25127.0,407.0,25127.0,1770.0,14273.0,18153.0,10022
13558.0,72714.0,1137.0,458800.0,493.0,5767.0,4880.0,44.2,3473.0,6200.0,37437.0,2387.0,5767.0,243.0,5767.0,2348.0,4880.0,5274.0,11693
70365.0,59153.0,1424.0,632300.0,993.0,22680.0,24301.0,33.7,18124.0,16825.0,29562.0,12864.0,22680.0,1214.0,22680.0,10000.0,24301.0,21687.0,11691
83069.0,61320.0,1595.0,727200.0,2116.0,36885.0,31821.0,46.7,7557.0,56390.0,40154.0,13715.0,36885.0,2066.0,36885.0,10652.0,31821.0,34769.0,11235
50868.0,64444.0,1675.0,626700.0,1240.0,20047.0,21326.0,37.8,25302.0,14286.0,33046.0,8334.0,20047.0,1083.0,20047.0,8354.0,21326.0,18807.0,10461
24584.0,57687.0,1305.0,591800.0,472.0,8600.0,9172.0,37.1,6123.0,3231.0,30945.0,5249.0,8600.0,566.0,8600.0,3739.0,9172.0,8128.0,11692
56232.0,94758.0,1579.0,653300.0,1292.0,21164.0,22212.0,42.2,9100.0,35532.0,42263.0,5444.0,21164.0,327.0,21164.0,11688.0,22212.0,19872.0,10306
32177.0,72342.0,1888.0,704400.0,4406.0,14142.0,12784.0,40.0,18881.0,2463.0,28530.0,4887.0,14142.0,316.0,14142.0,6950.0,12784.0,9736.0,11369
75212.0,103995.0,2046.0,559400.0,1915.0,35227.0,31462.0,44.7,12360.0,35338.0,64779.0,5054.0,35227.0,1105.0,35227.0,6609.0,31462.0,33312.0,11375
21329.0,117018.0,1650.0,591400.0,256.0,6858.0,9857.0,46.5,1425.0,426.0,42082.0,1100.0,6858.0,133.0,6858.0,3385.0,9857.0,6602.0,11411
21349.0,87685.0,2018.0,573500.0,327.0,6463.0,9965.0,38.2,2758.0,388.0,34596.0,2292.0,6463.0,166.0,6463.0,4057.0,9965.0,6136.0,11436
112750.0,69391.0,1884.0,797200.0,1448.0,31571.0,52779.0,34.6,85529.0,5004.0,24232.0,19198.0,31571.0,1592.0,31571.0,22051.0,52779.0,30123.0,11368
73318.0,87759.0,1879.0,920900.0,1347.0,27395.0,27055.0,37.3,11989.0,37725.0,49052.0,9618.0,27395.0,1223.0,27395.0,7985.0,27055.0,26048.0,11218
29461.0,147267.0,2852.0,1427900.0,4050.0,21554.0,14825.0,39.8,3271.0,22871.0,151521.0,1803.0,21554.0,967.0,21554.0,1177.0,14825.0,17504.0,10014
44864.0,69479.0,1365.0,653100.0,1499.0,17052.0,17963.0,38.8,9735.0,17196.0,38461.0,7404.0,17052.0,551.0,17052.0,7114.0,17963.0,15553.0,10304
19138.0,50177.0,1470.0,-666666666.0,1141.0,11244.0,6334.0,39.3,3783.0,1845.0,43569.0,5171.0,11244.0,543.0,11244.0,2591.0,6334.0,10103.0,10037
11846.0,120759.0,3082.0,932000.0,869.0,5908.0,4366.0,39.9,1267.0,5052.0,67809.0,1107.0,5908.0,457.0,5908.0,889.0,4366.0,5039.0,10044
56695.0,137253.0,2434.0,1365400.0,6136.0,35464.0,23370.0,42.3,8035.0,38389.0,118895.0,5360.0,35464.0,1775.0,35464.0,3553.0,23370.0,29328.0,10128
40593.0,96094.0,1554.0,597500.0,760.0,12513.0,17572.0,40.5,3101.0,540.0,36247.0,3789.0,12513.0,199.0,12513.0,7888.0,17572.0,11753.0,11412
29544.0,102343.0,2302.0,870100.0,817.0,11703.0,12809.0,43.5,4363.0,11427.0,48784.0,2369.0,11703.0,348.0,11703.0,3438.0,12809.0,10886.0,11361
72273.0,60892.0,1474.0,577600.0,1139.0,25761.0,28104.0,37.3,21217.0,1869.0,29722.0,14178.0,25761.0,882.0,25761.0,12082.0,28104.0,24622.0,10466
38317.0,79101.0,1775.0,729400.0,471.0,12152.0,16230.0,39.3,15918.0,7235.0,34296.0,4483.0,12152.0,360.0,12152.0,6245.0,16230.0,11681.0,11418
102618.0,67489.0,1835.0,659200.0,2256.0,34900.0,47862.0,37.6,43389.0,4932.0,28239.0,11006.0,34900.0,2802.0,34900.0,17849.0,47862.0,32644.0,11373
94355.0,103436.0,1631.0,649200.0,1803.0,33628.0,38508.0,41.7,14388.0,56909.0,45463.0,8838.0,33628.0,524.0,33628.0,17128.0,38508.0,31825.0,10314
31268.0,47765.0,1245.0,710500.0,1253.0,14350.0,12530.0,37.5,9273.0,2780.0,35352.0,9542.0,14350.0,1094.0,14350.0,3421.0,12530.0,13097.0,10030
37647.0,84020.0,1939.0,938200.0,641.0,13820.0,15432.0,43.7,6410.0,11610.0,39517.0,3405.0,13820.0,607.0,13820.0,6228.0,15432.0,13179.0,11358
38756.0,97233.0,2162.0,1054000.0,1751.0,17602.0,17461.0,35.7,8903.0,23322.0,51528.0,3959.0,17602.0,1059.0,17602.0,4518.0,17461.0,15851.0,11105
58476.0,82716.0,1730.0,1170800.0,1830.0,26703.0,25312.0,36.0,6330.0,15995.0,46442.0,8951.0,26703.0,1546.0,26703.0,7172.0,25312.0,24873.0,11225
32296.0,101416.0,2115.0,599100.0,435.0,10454.0,14155.0,42.0,2873.0,1884.0,39047.0,2684.0,10454.0,296.0,10454.0,5479.0,14155.0,10019.0,11422
40198.0,81729.0,1936.0,662700.0,2892.0,21408.0,18029.0,36.3,10746.0,16511.0,51694.0,4898.0,21408.0,1299.0,21408.0,5365.0,18029.0,18516.0,11106
92283.0,51194.0,1627.0,1055800.0,3343.0,27374.0,27832.0,25.8,12095.0,55168.0,20336.0,29888.0,27374.0,1016.0,27374.0,16209.0,27832.0,24031.0,11219
88575.0,33317.0,1163.0,403600.0,771.0,33141.0,29345.0,33.6,49895.0,2095.0,18351.0,31579.0,33141.0,3296.0,33141.0,12600.0,29345.0,32370.0,10456
44380.0,35813.0,1130.0,344100.0,274.0,16528.0,14840.0,32.2,32886.0,601.0,19976.0,12816.0,16528.0,1313.0,16528.0,5748.0,14840.0,16254.0,10455
80385.0,34800.0,1362.0,524600.0,403.0,28859.0,28353.0,33.8,55618.0,1617.0,19016.0,27796.0,28859.0,2389.0,28859.0,11521.0,28353.0,28456.0,10453
43045.0,152735.0,2651.0,1603300.0,1996.0,20908.0,17722.0,35.8,6221.0,22259.0,100325.0,4706.0,20908.0,1415.0,20908.0,2163.0,17722.0,18912.0,11217
28137.0,79599.0,1865.0,837000.0,591.0,10180.0,12225.0,35.5,14736.0,6363.0,38916.0,4251.0,10180.0,755.0,10180.0,2864.0,12225.0,9589.0,11232
26939.0,83493.0,1908.0,678900.0,1124.0,13115.0,12251.0,38.7,7351.0,10537.0,45607.0,2906.0,13115.0,919.0,13115.0,3751.0,12251.0,11991.0,11104
41073.0,26400.0,954.0,782900.0,420.0,15157.0,13026.0,33.1,28854.0,1148.0,17576.0,17134.0,15157.0,1408.0,15157.0,5858.0,13026.0,14737.0,10454
80113.0,61356.0,1596.0,1037900.0,2397.0,29145.0,27622.0,37.3,11907.0,39171.0,32102.0,16584.0,29145.0,1073.0,29145.0,13257.0,27622.0,26748.0,11223
38261.0,89500.0,1881.0,863900.0,1278.0,15088.0,16596.0,44.9,8430.0,23558.0,42839.0,2852.0,15088.0,413.0,15088.0,6989.0,16596.0,13810.0,11379
40331.0,84855.0,1643.0,642300.0,2211.0,16611.0,15995.0,36.8,10603.0,16694.0,43970.0,4993.0,16611.0,754.0,16611.0,5738.0,15995.0,14400.0,10301
26239.0,105523.0,1660.0,596200.0,884.0,10029.0,11188.0,36.7,7621.0,11118.0,41256.0,3628.0,10029.0,184.0,10029.0,4092.0,11188.0,9145.0,10310
41552.0,81324.0,1903.0,665300.0,956.0,12796.0,17918.0,39.3,24543.0,5548.0,32893.0,4083.0,12796.0,466.0,12796.0,7208.0,17918.0,11840.0,11421
18567.0,75588.0,1701.0,529600.0,871.0,6816.0,6916.0,35.0,7781.0,5314.0,31022.0,3214.0,6816.0,183.0,6816.0,3256.0,6916.0,5945.0,10302
31200.0,84419.0,1847.0,669800.0,532.0,9909.0,12591.0,36.6,11986.0,5007.0,32200.0,3396.0,9909.0,361.0,9909.0,4662.0,12591.0,9377.0,11417
4579.0,232543.0,3501.0,1792200.0,583.0,2706.0,2377.0,34.6,229.0,2570.0,167761.0,141.0,2706.0,114.0,2706.0,15.0,2377.0,2123.0,10004
8801.0,189886.0,3501.0,1750000.0,1391.0,6272.0,5939.0,29.6,755.0,6071.0,143869.0,456.0,6272.0,484.0,6272.0,261.0,5939.0,4881.0,10005
0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10199
23343.0,99641.0,3082.0,886400.0,2025.0,12671.0,9683.0,34.6,2592.0,10086.0,72247.0,4562.0,12671.0,805.0,12671.0,1413.0,9683.0,10646.0,10038
32410.0,150288.0,2899.0,1093900.0,2916.0,18966.0,13861.0,35.8,3186.0,19908.0,132405.0,2486.0,18966.0,1090.0,18966.0,1275.0,13861.0,16050.0,10010
14486.0,139964.0,2854.0,850100.0,3703.0,12858.0,7673.0,41.2,414.0,9623.0,121788.0,1041.0,12858.0,736.0,12858.0,469.0,7673.0,9155.0,10017
3736.0,204574.0,3501.0,1066700.0,376.0,2422.0,2070.0,32.0,203.0,2347.0,124350.0,274.0,2422.0,72.0,2422.0,142.0,2070.0,2046.0,10006
23920.0,140736.0,2328.0,1205100.0,2863.0,15702.0,10825.0,44.9,1841.0,18798.0,153302.0,2576.0,15702.0,480.0,15702.0,1555.0,10825.0,12839.0,10075
47893.0,40467.0,925.0,500700.0,1586.0,21072.0,12817.0,49.4,9321.0,22825.0,27382.0,13374.0,21072.0,2214.0,21072.0,9469.0,12817.0,19486.0,11224
27632.0,86717.0,2034.0,856500.0,498.0,8889.0,11623.0,38.7,11529.0,6490.0,31747.0,2620.0,8889.0,243.0,8889.0,5264.0,11623.0,8391.0,11356
19554.0,89593.0,1763.0,645300.0,344.0,6497.0,8391.0,45.9,5120.0,1638.0,35638.0,1880.0,6497.0,57.0,6497.0,3744.0,8391.0,6153.0,11428
15390.0,75750.0,1581.0,536400.0,227.0,6578.0,6861.0,38.6,3505.0,5965.0,40679.0,1641.0,6578.0,549.0,6578.0,2404.0,6861.0,6351.0,10470
21788.0,100190.0,1688.0,810500.0,1048.0,9042.0,8705.0,44.0,3787.0,15628.0,47541.0,2604.0,9042.0,358.0,9042.0,3187.0,8705.0,7994.0,11694
11280.0,40795.0,1280.0,434900.0,212.0,4020.0,4040.0,31.7,7921.0,246.0,19635.0,3587.0,4020.0,297.0,4020.0,1880.0,4040.0,3808.0,10474
19733.0,112325.0,2131.0,653300.0,418.0,6526.0,9153.0,45.6,3546.0,4543.0,46736.0,1272.0,6526.0,193.0,6526.0,2650.0,9153.0,6108.0,11426
30075.0,122647.0,1668.0,630000.0,901.0,11373.0,13148.0,42.0,3320.0,23986.0,48628.0,1602.0,11373.0,195.0,11373.0,6082.0,13148.0,10472.0,10308
70296.0,66780.0,1592.0,349300.0,775.0,30382.0,25920.0,41.4,36790.0,19693.0,41913.0,13054.0,30382.0,1286.0,30382.0,7725.0,25920.0,29607.0,10463
60087.0,51379.0,1120.0,542600.0,644.0,23439.0,22575.0,37.6,37376.0,1004.0,28243.0,12567.0,23439.0,2246.0,23439.0,7693.0,22575.0,22795.0,10473
